,QuestionId,OriginalQuestion,TypoQuestion,TargetWord,TypoWord,EditDistance,TargetStartIndex,TargetEndIndex,p,LogProbWord,ProbWord,StartIndex,EndIndex,AnswerChoices,CorrectAnswer,Answer,CorrectedAnswer,CorrectedQuestion,Correct,Valid,CorrectedCorrect,CorrectInt,CorrectedCorrectInt,PositiveChangeCorrection,NegativeChangeCorrection,BaseCorrect,Filtered
0,1,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?","The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",punishing,punishing,0,40,49,0,-5.41,3.87E-06,40,49,"['A) ignore', 'B) enforce', 'C) authoritarian', 'D) yell at', 'E) avoid']",A) ignore,B) enforce,B) enforce,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",FALSE,TRUE,FALSE,0,0,0,0,0,
1,1,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?","The sanctions against the school were a zunishing blow, and they seemed to what the efforts the school had made to change?",punishing,zunishing,1,40,49,0.1,-5.41,3.87E-06,40,49,"['A) ignore', 'B) enforce', 'C) authoritarian', 'D) yell at', 'E) avoid']",A) ignore,B) enforce,B) enforce,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",FALSE,TRUE,FALSE,0,0,0,0,0,
2,1,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?","The sanctions against the school were a piushign blow, and they seemed to what the efforts the school had made to change?",punishing,piushign,5,40,48,0.2,-5.41,3.87E-06,40,49,"['A) ignore', 'B) enforce', 'C) authoritarian', 'D) yell at', 'E) avoid']",A) ignore,B) enforce,B) enforce,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",FALSE,TRUE,FALSE,0,0,0,0,0,
3,1,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?","The sanctions against the school were a punssing blow, and they seemed to what the efforts the school had made to change?",punishing,punssing,2,40,48,0.3,-5.41,3.87E-06,40,49,"['A) ignore', 'B) enforce', 'C) authoritarian', 'D) yell at', 'E) avoid']",A) ignore,B) enforce,B) enforce,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",FALSE,TRUE,FALSE,0,0,0,0,0,
4,1,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?","The sanctions against the school were a puoishing blow, and they seemed to what the efforts the school had made to change?",punishing,puoishing,1,40,49,0.4,-5.41,3.87E-06,40,49,"['A) ignore', 'B) enforce', 'C) authoritarian', 'D) yell at', 'E) avoid']",A) ignore,B) enforce,B) enforce,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",FALSE,TRUE,FALSE,0,0,0,0,0,
5,1,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?","The sanctions against the school were a punishnrg blow, and they seemed to what the efforts the school had made to change?",punishing,punishnrg,2,40,49,0.5,-5.41,3.87E-06,40,49,"['A) ignore', 'B) enforce', 'C) authoritarian', 'D) yell at', 'E) avoid']",A) ignore,B) enforce,B) enforce,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",FALSE,TRUE,FALSE,0,0,0,0,0,
6,2,Sammy wanted to go to where the people were.  Where might he go?,Sammy wanted to go to where the people were.  Where might he go?,people,people,0,32,38,0,-1.92,0.011909332,32,38,"['A) race track', 'B) populated areas', 'C) the desert', 'D) apartment', 'E) roadblock']",B) populated areas,B) populated areas,B) populated areas,Sammy wanted to go to where the people were. Where might he go?,TRUE,TRUE,TRUE,1,1,0,0,1,
7,2,Sammy wanted to go to where the people were.  Where might he go?,Sammy wanted to go to where the epople were.  Where might he go?,people,epople,2,32,38,0.1,-1.92,0.011909332,32,38,"['A) race track', 'B) populated areas', 'C) the desert', 'D) apartment', 'E) roadblock']",B) populated areas,B) populated areas,B) populated areas,Sammy wanted to go to where the people were. Where might he go?,TRUE,TRUE,TRUE,1,1,0,0,1,1
8,2,Sammy wanted to go to where the people were.  Where might he go?,Sammy wanted to go to where the dpm were.  Where might he go?,people,dpm,5,32,35,0.2,-1.92,0.011909332,32,38,"['A) race track', 'B) populated areas', 'C) the desert', 'D) apartment', 'E) roadblock']",B) populated areas,B) populated areas,B) populated areas,Sammy wanted to go to where the damp were. Where might he go?,TRUE,TRUE,TRUE,1,1,0,0,1,1
9,2,Sammy wanted to go to where the people were.  Where might he go?,Sammy wanted to go to where the peolpe were.  Where might he go?,people,peolpe,2,32,38,0.3,-1.92,0.011909332,32,38,"['A) race track', 'B) populated areas', 'C) the desert', 'D) apartment', 'E) roadblock']",B) populated areas,B) populated areas,B) populated areas,Sammy wanted to go to where the people were. Where might he go?,TRUE,TRUE,TRUE,1,1,0,0,1,1
10,2,Sammy wanted to go to where the people were.  Where might he go?,Sammy wanted to go to where the ppje were.  Where might he go?,people,ppje,3,32,36,0.4,-1.92,0.011909332,32,38,"['A) race track', 'B) populated areas', 'C) the desert', 'D) apartment', 'E) roadblock']",B) populated areas,B) populated areas,B) populated areas,Sammy wanted to go to where the people were. Where might he go?,TRUE,TRUE,TRUE,1,1,0,0,1,1
11,2,Sammy wanted to go to where the people were.  Where might he go?,Sammy wanted to go to where the pevel were.  Where might he go?,people,pevel,3,32,37,0.5,-1.92,0.011909332,32,38,"['A) race track', 'B) populated areas', 'C) the desert', 'D) apartment', 'E) roadblock']",B) populated areas,B) populated areas,B) populated areas,Sammy wanted to go to where the people were. Where might he go?,TRUE,TRUE,TRUE,1,1,0,0,1,1
12,3,To locate a choker not located in a jewelry box or boutique where would you go?,To locate a choker not located in a jewelry box or boutique where would you go?,choker,choker,0,12,18,0,-5.55,2.83E-06,12,18,"['A) jewelry store', 'B) neck', 'C) jewlery box', 'D) jewelry box', 'E) boutique']",A) jewelry store,B) neck,B) neck,To locate a choker not located in a jewelry box or boutique where would you go?,FALSE,TRUE,FALSE,0,0,0,0,0,
