,OriginalQuestion,TypoQuestion,TargetWord,TypoWord,EditDistance,TargetStartIndex,TargetEndIndex,p,LogProbWord,Question,StartIndex,EndIndex,AnswerChoices,CorrectAnswer,Answer,Correct,Valid,CorrectedQuestion,CorrectedAnswer,CorrectedCorrect
0,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?","The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",punishing,punishing,0,40,49,0.0,3.869999090966303e-06,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",40,49,"['A) ignore', 'B) enforce', 'C) authoritarian', 'D) yell at', 'E) avoid']",A) ignore,B) enforce,False,True,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",B) enforce,False
1,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?","The sanctions against the school were a zunishing blow, and they seemed to what the efforts the school had made to change?",punishing,zunishing,1,40,49,0.1,3.869999090966303e-06,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",40,49,"['A) ignore', 'B) enforce', 'C) authoritarian', 'D) yell at', 'E) avoid']",A) ignore,B) enforce,False,True,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",B) enforce,False
2,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?","The sanctions against the school were a piushign blow, and they seemed to what the efforts the school had made to change?",punishing,piushign,5,40,48,0.2,3.869999090966303e-06,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",40,49,"['A) ignore', 'B) enforce', 'C) authoritarian', 'D) yell at', 'E) avoid']",A) ignore,B) enforce,False,True,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",B) enforce,False
3,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?","The sanctions against the school were a punssing blow, and they seemed to what the efforts the school had made to change?",punishing,punssing,2,40,48,0.3,3.869999090966303e-06,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",40,49,"['A) ignore', 'B) enforce', 'C) authoritarian', 'D) yell at', 'E) avoid']",A) ignore,B) enforce,False,True,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",B) enforce,False
4,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?","The sanctions against the school were a puoishing blow, and they seemed to what the efforts the school had made to change?",punishing,puoishing,1,40,49,0.4,3.869999090966303e-06,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",40,49,"['A) ignore', 'B) enforce', 'C) authoritarian', 'D) yell at', 'E) avoid']",A) ignore,B) enforce,False,True,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",B) enforce,False
5,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?","The sanctions against the school were a punishnrg blow, and they seemed to what the efforts the school had made to change?",punishing,punishnrg,2,40,49,0.5,3.869999090966303e-06,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",40,49,"['A) ignore', 'B) enforce', 'C) authoritarian', 'D) yell at', 'E) avoid']",A) ignore,B) enforce,False,True,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",B) enforce,False
6,Sammy wanted to go to where the people were.  Where might he go?,Sammy wanted to go to where the people were.  Where might he go?,people,people,0,32,38,0.0,0.011909332126379013,Sammy wanted to go to where the people were.  Where might he go?,32,38,"['A) race track', 'B) populated areas', 'C) the desert', 'D) apartment', 'E) roadblock']",B) populated areas,B) populated areas,True,True,Sammy wanted to go to where the people were. Where might he go?,B) populated areas,True
7,Sammy wanted to go to where the people were.  Where might he go?,Sammy wanted to go to where the epople were.  Where might he go?,people,epople,2,32,38,0.1,0.011909332126379013,Sammy wanted to go to where the people were.  Where might he go?,32,38,"['A) race track', 'B) populated areas', 'C) the desert', 'D) apartment', 'E) roadblock']",B) populated areas,B) populated areas,True,True,Sammy wanted to go to where the people were. Where might he go?,B) populated areas,True
8,Sammy wanted to go to where the people were.  Where might he go?,Sammy wanted to go to where the dpm were.  Where might he go?,people,dpm,5,32,35,0.2,0.011909332126379013,Sammy wanted to go to where the people were.  Where might he go?,32,38,"['A) race track', 'B) populated areas', 'C) the desert', 'D) apartment', 'E) roadblock']",B) populated areas,B) populated areas,True,True,Sammy wanted to go to where the damp were. Where might he go?,B) populated areas,True
9,Sammy wanted to go to where the people were.  Where might he go?,Sammy wanted to go to where the peolpe were.  Where might he go?,people,peolpe,2,32,38,0.3,0.011909332126379013,Sammy wanted to go to where the people were.  Where might he go?,32,38,"['A) race track', 'B) populated areas', 'C) the desert', 'D) apartment', 'E) roadblock']",B) populated areas,B) populated areas,True,True,Sammy wanted to go to where the people were. Where might he go?,B) populated areas,True
